,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
731,RANG,Range Capital Acquisition Corp.,162.30M,-0.10%,50,-
732,TAVI,Tavia Acquisition Corp.,162.24M,0.30%,2011,-
733,RFAI,RF Acquisition Corp II,157.33M,-,-,-
734,CFBK,CF Bankshares Inc.,155.37M,0.48%,11844,47.66M
735,ATLO,Ames National Corporation,155.22M,0.29%,10312,55.04M
736,UBFO,United Security Bancshares,152.22M,-1.14%,19111,47.36M
737,PEBK,"Peoples Bancorp of North Carolina, Inc.",151.89M,-1.37%,8557,83.03M
738,SSSS,SuRo Capital Corp.,150.26M,3.91%,309111,3.64M
739,BFIN,BankFinancial Corporation,149.90M,-0.25%,20907,48.55M
740,MAYA,Maywood Acquisition Corp.,149.73M,4.38%,-,-
741,MRBK,Meridian Corporation,148.66M,0.15%,19018,101.10M
742,ECBK,"ECB Bancorp, Inc.",147.33M,-0.34%,11023,26.91M
743,CZWI,"Citizens Community Bancorp, Inc.",146.54M,-0.81%,12960,58.04M
744,CBFV,"CB Financial Services, Inc.",144.97M,-0.10%,10823,49.55M
745,MNSB,"MainStreet Bancshares, Inc.",144.59M,-0.62%,22471,59.90M
746,BANX,ArrowMark Financial Corp.,143.53M,-1.76%,23661,29.47M
747,NCTY,The9 Limited,141.71M,-2.40%,55123,15.31M
748,UNB,"Union Bankshares, Inc.",138.25M,-1.26%,8394,47.83M
749,MRCC,Monroe Capital Corporation,137.36M,0.48%,40150,56.98M
750,BCBP,"BCB Bancorp, Inc.",137.13M,-0.87%,91802,63.18M
751,GOCO,"GoHealth, Inc.",136.50M,-0.69%,46755,834.27M
752,EBMT,"Eagle Bancorp Montana, Inc.",133.62M,-1.64%,28624,82.27M
753,EHTH,"eHealth, Inc.",131.92M,-2.90%,255886,552.57M
754,FNWD,Finward Bancorp,131.28M,0.47%,4297,61.43M
755,SFBC,"Sound Financial Bancorp, Inc.",128.08M,-0.47%,3777,36.56M
756,RMBI,"Richmond Mutual Bancorporation, Inc.",127.00M,-3.83%,18770,42.83M
757,UMAC,"Unusual Machines, Inc.",125.93M,2.84%,1006998,6.99M
758,SBFG,"SB Financial Group, Inc.",125.67M,-1.13%,13829,58.81M
759,WHG,"Westwood Holdings Group, Inc.",124.79M,0.87%,17047,95.24M
760,GECC,Great Elm Capital Corp.,122.83M,-0.19%,7963,42.91M
761,KVAC,Keen Vision Acquisition Corporation,122.38M,0.88%,75006,-
762,NSTS,"NSTS Bancorp, Inc.",121.83M,5.88%,14867,9.12M
763,SRBK,"SR Bancorp, Inc.",121.51M,-0.19%,42689,27.99M
764,RVSB,"Riverview Bancorp, Inc.",121.45M,-1.36%,347165,50.50M
765,RBKB,"Rhinebeck Bancorp, Inc.",120.95M,0.27%,7436,28.03M
766,CHEB,Chenghe Acquisition II Co.,120.82M,-0.68%,21072,-
767,FGBI,"First Guaranty Bancshares, Inc.",118.67M,0.32%,9953,81.25M
768,PCSC,Perceptive Capital Solutions Corp,116.54M,-0.09%,2,-
769,SVII,Spring Valley Acquisition Corp. II,116.49M,1.03%,158398,-
770,AFBI,"Affinity Bancshares, Inc.",115.71M,-1.35%,11602,31.04M
771,QSEA,Quartzsea Acquisition Corporation,113.98M,-0.10%,99434,-
772,OFS,OFS Capital Corporation,113.48M,1.93%,30266,44.03M
773,CHAR,Charlton Aria Acquisition Corporation,111.72M,-0.01%,5,-
774,AIFE,Aifeex Nexus Acquisition Corporation,111.30M,-0.05%,5,-
775,PTMN,Portman Ridge Finance Corporation,108.96M,-1.50%,70442,58.02M
776,KWM,K Wave Media Ltd.,108.15M,1.79%,128401,-
