,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
244,VSEC,VSE Corporation,2.62B,0.05%,182936,1.17B
245,SEB,Seaboard Corporation,2.49B,-1.12%,2879,9.23B
246,RXO,"RXO, Inc.",2.47B,-1.11%,1151975,5.07B
247,NSP,"Insperity, Inc.",2.45B,-2.58%,644203,6.64B
248,MYRG,MYR Group Inc.,2.44B,1.42%,220110,3.38B
249,CXW,"CoreCivic, Inc.",2.42B,-1.29%,568125,1.95B
250,HURN,Huron Consulting Group Inc.,2.38B,-1.15%,215891,1.53B
251,ALG,Alamo Group Inc.,2.38B,-0.86%,60573,1.59B
252,EPAC,Enerpac Tool Group Corp.,2.30B,-1.28%,180926,599.83M
253,ATKR,Atkore Inc.,2.20B,-0.74%,252044,2.97B
254,HTZ,"Hertz Global Holdings, Inc.",2.18B,-2.89%,13320477,8.78B
255,ZIM,ZIM Integrated Shipping Services Ltd.,2.17B,-1.31%,5889137,8.87B
256,AIR,AAR Corp.,2.12B,-0.55%,120977,2.68B
257,POWL,"Powell Industries, Inc.",2.11B,0.83%,245464,1.08B
258,TRN,"Trinity Industries, Inc.",2.07B,-1.05%,361044,2.86B
259,HUBG,"Hub Group, Inc.",2.04B,-2.20%,412260,3.86B
260,LUNR,"Intuitive Machines, Inc.",2.03B,-1.05%,3978224,217.31M
261,TGI,"Triumph Group, Inc.",1.99B,0.04%,692251,1.24B
262,MAN,ManpowerGroup Inc.,1.95B,-2.23%,578505,17.54B
263,REVG,"REV Group, Inc.",1.91B,-0.27%,544205,2.32B
264,SBLK,Star Bulk Carriers Corp.,1.89B,1.12%,982954,1.24B
265,TPC,Tutor Perini Corporation,1.89B,1.82%,452066,4.52B
266,PBI,Pitney Bowes Inc.,1.82B,0.60%,2999120,2.00B
267,SXI,Standex International Corporation,1.76B,-0.98%,65093,748.25M
268,JBLU,JetBlue Airways Corporation,1.75B,-,15906310,9.21B
269,ROCK,"Gibraltar Industries, Inc.",1.74B,-0.85%,259563,1.31B
270,XMTR,"Xometry, Inc.",1.70B,0.27%,388439,573.81M
271,LZ,"LegalZoom.com, Inc.",1.68B,-2.93%,1596981,690.78M
272,PCT,"PureCycle Technologies, Inc.",1.68B,2.19%,2925761,1.58M
273,CDLR,Cadeler A/S,1.68B,4.49%,43948,319.01M
274,ENR,"Energizer Holdings, Inc.",1.65B,0.39%,766160,2.90B
275,BWLP,BW LPG Limited,1.65B,2.82%,551702,3.39B
276,KMT,Kennametal Inc.,1.60B,-1.13%,753732,1.99B
277,WERN,"Werner Enterprises, Inc.",1.59B,-1.55%,696856,2.97B
278,DAC,Danaos Corporation,1.57B,1.22%,64531,1.01B
279,ICFI,"ICF International, Inc.",1.57B,-2.85%,271757,2.01B
280,DNOW,DNOW Inc.,1.54B,-0.21%,526851,2.41B
