,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
294,CXM,"Sprinklr, Inc.",2.07B,-2.07%,1151073,796.39M
295,TDC,Teradata Corporation,2.06B,-2.45%,738314,1.70B
296,EXTR,"Extreme Networks, Inc.",2.05B,-2.84%,1044939,1.09B
297,VIAV,Viavi Solutions Inc.,2.03B,0.17%,1989477,1.05B
298,FIVN,"Five9, Inc.",2.03B,-1.37%,1864742,1.07B
299,AVDX,"AvidXchange Holdings, Inc.",2.01B,0.21%,3320531,441.28M
300,RAMP,"LiveRamp Holdings, Inc.",2.01B,-7.70%,1448374,745.58M
301,VSH,"Vishay Intertechnology, Inc.",1.89B,-2.11%,1006919,2.91B
302,VICR,Vicor Corporation,1.88B,0.24%,149924,369.15M
303,NATL,NCR Atleos Corporation,1.88B,-1.43%,275067,4.25B
304,QUBT,Quantum Computing Inc.,1.88B,10.27%,88704987,385.00K
305,ACLS,"Axcelis Technologies, Inc.",1.87B,-1.24%,326330,958.06M
306,GB,Global Blue Group Holding AG,1.78B,0.41%,100367,503.51M
307,EVCM,EverCommerce Inc.,1.77B,-2.06%,209058,703.19M
308,DBD,"Diebold Nixdorf, Incorporated",1.76B,-0.13%,96291,3.70B
309,PLUS,ePlus inc.,1.76B,2.04%,293144,2.07B
310,CSGS,"CSG Systems International, Inc.",1.75B,-0.19%,152418,1.20B
311,KLIC,"Kulicke and Soffa Industries, Inc.",1.68B,-1.12%,425091,691.08M
312,CNXN,"PC Connection, Inc.",1.67B,-1.45%,71356,2.87B
313,APLD,Applied Digital Corporation,1.65B,-1.60%,24615111,221.19M
314,NN,NextNav Inc.,1.65B,-3.34%,929766,6.16M
315,KARO,Karooooo Ltd.,1.63B,-0.19%,9095,245.75M
316,NTCT,"NetScout Systems, Inc.",1.63B,-1.89%,239562,822.68M
317,VNET,"VNET Group, Inc.",1.61B,-1.07%,2101043,1.13B
318,AMPL,"Amplitude, Inc.",1.58B,-2.19%,919958,306.60M
319,RUN,Sunrun Inc.,1.57B,2.53%,50321436,2.08B
320,FORTY,Formula Systems (1985) Ltd.,1.57B,-0.46%,672,2.81B
321,NYAX,Nayax Ltd.,1.55B,-0.20%,1370,314.01M
322,SPNS,Sapiens International Corporation N.V.,1.54B,-0.90%,111571,544.24M
323,VYX,NCR Voyix Corporation,1.49B,-1.01%,1517183,2.73B
324,TASK,"TaskUs, Inc.",1.49B,-0.59%,329787,1.05B
325,DFIN,"Donnelley Financial Solutions, Inc.",1.49B,-1.52%,232477,779.60M
326,RPD,"Rapid7, Inc.",1.47B,-0.22%,478964,849.16M
327,OLO,Olo Inc.,1.46B,-0.57%,990153,299.11M
328,NABL,"N-able, Inc.",1.46B,-0.52%,995441,470.60M
329,TUYA,Tuya Inc.,1.45B,-3.59%,2508935,311.64M
330,PD,"PagerDuty, Inc.",1.45B,-0.75%,671499,467.50M
331,IBTA,"Ibotta, Inc.",1.45B,-4.05%,257722,369.50M
332,LSPD,Lightspeed Commerce Inc.,1.45B,6.58%,1104757,1.08B
333,HIMX,"Himax Technologies, Inc.",1.44B,-0.12%,801412,914.39M
334,ACMR,"ACM Research, Inc.",1.43B,-0.58%,633989,802.27M
335,SEMR,"Semrush Holdings, Inc.",1.43B,-2.13%,870550,396.02M
336,KN,Knowles Corporation,1.41B,-1.46%,463705,552.40M
337,ADEA,Adeia Inc.,1.37B,-2.69%,463562,380.29M
338,JAMF,Jamf Holding Corp.,1.34B,-3.05%,821452,642.90M
339,FLYW,Flywire Corporation,1.34B,-,1960713,511.49M
340,UPBD,"Upbound Group, Inc.",1.32B,-2.26%,467133,4.40B
341,BHE,"Benchmark Electronics, Inc.",1.29B,-1.21%,177294,2.61B
342,CRCT,"Cricut, Inc.",1.26B,-2.70%,380294,707.78M
343,SPT,"Sprout Social, Inc.",1.24B,-1.71%,675186,418.41M
344,PLAB,"Photronics, Inc.",1.24B,-1.91%,380731,862.75M
345,COMM,"CommScope Holding Company, Inc.",1.23B,3.83%,17547600,4.42B
346,MLNK,"MeridianLink, Inc.",1.23B,-0.87%,364864,319.97M
347,ATEN,"A10 Networks, Inc.",1.23B,-0.53%,461227,267.16M
348,ROG,Rogers Corporation,1.21B,-2.45%,117025,807.20M
349,DGII,Digi International Inc.,1.19B,-0.59%,173490,418.62M
350,PGY,Pagaya Technologies Ltd.,1.19B,2.95%,1412655,1.08B
351,CTS,CTS Corporation,1.18B,-2.05%,173002,515.79M
352,VSAT,"Viasat, Inc.",1.18B,-9.23%,4068290,4.52B
353,SONO,"Sonos, Inc.",1.16B,-2.71%,1205352,1.46B
354,INOD,Innodata Inc.,1.16B,0.91%,1023986,202.30M
355,VECO,Veeco Instruments Inc.,1.15B,-1.13%,592545,710.11M
356,VTEX,VTEX,1.13B,-0.48%,989581,228.24M
357,YALA,Yalla Group Limited,1.12B,-7.87%,1206526,344.82M
358,GDYN,"Grid Dynamics Holdings, Inc.",1.09B,-2.06%,707831,371.17M
359,BBAI,"BigBear.ai Holdings, Inc.",1.06B,-4.71%,92924449,159.87M
360,ARRY,"Array Technologies, Inc.",1.05B,-0.15%,5059883,1.06B
361,PRCH,"Porch Group, Inc.",1.05B,2.74%,2974640,427.15M
362,FSLY,"Fastly, Inc.",1.04B,-3.36%,1301677,554.63M
363,VRNT,Verint Systems Inc.,1.01B,-1.52%,579902,909.19M
364,HLIT,Harmonic Inc.,1.01B,-1.60%,613530,689.80M
