,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
170,VTLE,"Vital Energy, Inc.",558.17M,0.99%,1093123,1.98B
171,TEN,Tsakos Energy Navigation Limited,540.19M,3.70%,244053,804.06M
172,PBT,Permian Basin Royalty Trust,524.35M,1.63%,85861,24.14M
173,CLB,Core Laboratories Inc.,508.68M,-0.64%,434650,517.80M
174,NOA,North American Construction Group Ltd.,504.07M,0.71%,34060,841.54M
175,FTK,"Flotek Industries, Inc.",441.60M,-1.65%,276239,202.01M
176,NGL,NGL Energy Partners LP,434.32M,-2.66%,113516,5.92B
177,SGU,"Star Group, L.P.",419.98M,-0.41%,28003,1.80B
178,CLNE,Clean Energy Fuels Corp.,413.24M,0.54%,3140790,415.92M
179,BORR,Borr Drilling Limited,392.47M,1.23%,6199912,993.20M
180,NBR,Nabors Industries Ltd.,380.76M,2.67%,431766,2.93B
181,OMSE,OMS Energy Technologies Inc.,369.73M,-2.79%,130484,252.24M
182,TTI,"TETRA Technologies, Inc.",364.62M,0.74%,703867,605.28M
183,EU,enCore Energy Corp.,362.73M,23.12%,7409731,46.18M
184,SD,"SandRidge Energy, Inc.",353.15M,-0.82%,247362,137.61M
185,GPRK,GeoPark Limited,349.47M,1.34%,619257,630.77M
186,ISOU,IsoEnergy Ltd.,347.26M,9.73%,119443,-
187,OBE,Obsidian Energy Ltd.,346.91M,3.77%,293467,525.69M
188,EGY,"VAALCO Energy, Inc.",333.26M,-1.53%,1065912,489.16M
189,SMC,Summit Midstream Corporation,329.78M,-0.04%,67468,444.38M
190,PNRG,PrimeEnergy Resources Corporation,318.77M,1.58%,38687,240.96M
191,CLCO,Cool Company Ltd.,318.60M,2.19%,62932,319.93M
192,SJT,San Juan Basin Royalty Trust,318.34M,-2.43%,339775,1.93M
193,URG,Ur-Energy Inc.,318.11M,22.12%,15399825,33.71M
194,UROY,Uranium Royalty Corp.,309.77M,19.49%,10981393,15.98M
195,NGS,"Natural Gas Services Group, Inc.",302.85M,0.50%,56102,161.22M
196,TBN,Tamboran Resources Corporation,302.38M,-1.61%,3744,-
197,GFR,Greenfire Resources Ltd.,297.78M,-0.47%,17079,537.86M
198,BROG,Brooge Energy Limited,270.68M,13.30%,189833,76.47M
199,OIS,"Oil States International, Inc.",269.75M,-0.23%,390625,685.26M
200,NC,"NACCO Industries, Inc.",264.79M,-4.79%,7983,249.99M
201,RNGR,"Ranger Energy Services, Inc.",247.25M,-1.43%,85915,569.40M
202,KGEI,Kolibri Global Energy Inc.,229.51M,-1.52%,51924,60.74M
203,KNOP,KNOT Offshore Partners LP,220.11M,-2.78%,51899,320.03M
