,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
198,CAKE,The Cheesecake Factory Incorporated,2.60B,0.44%,952428,3.62B
199,GEF,"Greif, Inc.",2.60B,-1.14%,89900,5.51B
200,GRBK,"Green Brick Partners, Inc.",2.60B,0.24%,208787,2.15B
201,PRKS,United Parks & Resorts Inc.,2.52B,-0.31%,550176,1.71B
202,MLCO,Melco Resorts & Entertainment Limited,2.51B,-0.81%,1266870,4.76B
203,YETI,"YETI Holdings, Inc.",2.44B,-2.12%,1642752,1.84B
204,PSNY,Polestar Automotive Holding UK PLC,2.41B,0.88%,3024983,2.03B
205,DAN,Dana Incorporated,2.39B,1.48%,1937066,9.90B
206,KAR,"OPENLANE, Inc.",2.37B,-1.38%,602318,1.82B
207,MCW,"Mister Car Wash, Inc.",2.30B,0.35%,1223763,1.02B
208,AMBP,Ardagh Metal Packaging S.A.,2.29B,-0.52%,1912981,5.04B
209,SAH,"Sonic Automotive, Inc.",2.28B,-0.10%,159479,14.49B
210,VAC,Marriott Vacations Worldwide Corporation,2.27B,-2.71%,494282,3.30B
211,VC,Visteon Corporation,2.26B,-1.20%,262133,3.87B
212,FL,"Foot Locker, Inc.",2.26B,-0.67%,5505963,7.99B
213,GTX,Garrett Motion Inc.,2.22B,-1.97%,2364991,3.44B
214,QS,QuantumScape Corporation,2.22B,-,9192010,-
215,LCII,LCI Industries,2.21B,-1.56%,245949,3.82B
216,WEN,The Wendy's Company,2.20B,-0.52%,2847182,2.24B
217,PENN,"PENN Entertainment, Inc.",2.19B,2.86%,4055495,6.64B
218,PII,Polaris Inc.,2.14B,-3.08%,991472,7.07B
219,ZGN,Ermenegildo Zegna N.V.,2.12B,-0.83%,1980492,2.02B
220,HNI,HNI Corporation,2.12B,-1.90%,193639,2.54B
221,BKE,"The Buckle, Inc.",2.08B,-0.58%,1015647,1.23B
222,OI,"O-I Glass, Inc.",2.02B,-1.06%,781882,6.51B
223,CPRI,Capri Holdings Limited,1.98B,-2.55%,3423599,4.63B
224,AIN,Albany International Corp.,1.97B,-0.65%,172527,1.21B
225,DFH,"Dream Finders Homes, Inc.",1.96B,0.82%,263863,4.61B
226,OSW,OneSpaWorld Holdings Limited,1.90B,-0.96%,1000339,903.42M
227,AEO,"American Eagle Outfitters, Inc.",1.85B,-1.38%,6030375,5.33B
228,VSCO,Victoria's Secret & Co.,1.78B,-2.54%,1700520,6.23B
229,MSGE,Madison Square Garden Entertainment Corp.,1.73B,-0.95%,170945,974.67M
230,LZB,La-Z-Boy Incorporated,1.73B,-0.43%,283618,2.09B
231,HBI,Hanesbrands Inc.,1.73B,-2.98%,4487588,3.52B
232,PLYA,Playa Hotels & Resorts N.V.,1.73B,0.07%,364303,896.46M
233,PHIN,PHINIA Inc.,1.70B,-0.05%,373048,3.34B
234,SHOO,"Steven Madden, Ltd.",1.70B,-2.07%,874576,2.28B
235,CWH,"Camping World Holdings, Inc.",1.65B,1.70%,2756252,6.15B
236,TRIP,"Tripadvisor, Inc.",1.62B,-1.30%,2313231,1.84B
237,ARCO,Arcos Dorados Holdings Inc.,1.55B,-1.47%,1127117,4.47B
238,SVV,"Savers Value Village, Inc.",1.53B,-0.51%,694489,1.55B
239,MCRI,"Monarch Casino & Resort, Inc.",1.51B,0.33%,88715,525.92M
240,SG,"Sweetgreen, Inc.",1.51B,-3.39%,3279096,685.28M
241,EYE,"National Vision Holdings, Inc.",1.49B,0.69%,1439211,1.85B
242,WINA,Winmark Corporation,1.47B,0.27%,40743,83.10M
243,LOT,Lotus Technology Inc.,1.44B,-3.62%,137174,924.35M
244,PZZA,"Papa John's International, Inc.",1.38B,-0.66%,515652,2.06B
245,RVLV,"Revolve Group, Inc.",1.38B,-1.38%,1277547,1.16B
246,WWW,"Wolverine World Wide, Inc.",1.33B,-2.73%,789975,1.77B
247,MVST,"Microvast Holdings, Inc.",1.29B,12.11%,14474399,414.94M
248,LUCK,Lucky Strike Entertainment Corporation,1.28B,2.81%,144924,1.18B
249,HDL,Super Hi International Holding Ltd.,1.27B,-4.76%,612,791.60M
250,CBRL,"Cracker Barrel Old Country Store, Inc.",1.26B,1.44%,550594,3.51B
251,MBC,"MasterBrand, Inc.",1.24B,-1.51%,834011,2.72B
252,ADNT,Adient plc,1.24B,-1.80%,1170686,14.38B
253,SHCO,Soho House & Co Inc.,1.23B,0.96%,114878,1.22B
254,LUXE,LuxExperience B.V.,1.23B,-2.91%,112266,962.37M
255,EVRI,Everi Holdings Inc.,1.22B,0.14%,815110,749.85M
256,LGIH,"LGI Homes, Inc.",1.21B,-0.17%,243957,2.16B
257,GIII,"G-III Apparel Group, Ltd.",1.18B,-0.98%,490038,3.18B
258,EVGO,"EVgo, Inc.",1.18B,4.07%,4957049,276.95M
